Filename,Genome_length,GC,Contigs,CDS,mRNA,Gene,Chromosome,ExclFromRefSeq,Hypothetical Proteins,Average len CDS
GCA_012053725.1,4993824,51.79587826883767,1,4622.0,4611.0,4728.0,1.0,No,424,928.3794893985288
GCA_006165185.1,4794633,52.10000431732731,1,4614.0,4605.0,4723.0,1.0,No,684,911.9044213263979
GCA_002119485.1,4938076,51.9162119011534,1,4735.0,4735.0,4842.0,1.0,No,669,905.9934530095037
GCA_004919265.1,4968015,52.10684750347976,3,4730.0,4728.0,4839.0,3.0,No,417,913.0771670190275
GCA_018338715.1,4923856,52.240865695503686,2,4486.0,4484.0,4603.0,2.0,from large multi-isolate project,244,924.2385198395007
GCA_002984285.1,5192855,52.160170079850104,2,5101.0,5098.0,5219.0,2.0,No,782,887.3481670260733
GCA_000624575.2,4685847,51.72486425613128,1,4319.0,4319.0,4441.0,1.0,No,878,931.5373929150267
GCA_016917555.1,4552574,48.758702219887034,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_000623235.2,4685901,51.7273412306406,1,4318.0,4318.0,4441.0,1.0,No,877,931.6685965724872
GCA_013138265.1,4898988,51.537705338327015,1,0.0,0.0,0.0,1.0,from large multi-isolate project,0,0.0
GCA_002094915.1,4485606,52.34940384866616,1,4209.0,4209.0,4330.0,1.0,No,803,917.056307911618
GCA_005889975.1,4738879,52.16965868932294,2,4407.0,4405.0,4528.0,2.0,No,336,928.0367597004765
GCA_001623665.2,4635697,52.21229946650957,1,4430.0,4430.0,4545.0,1.0,No,852,916.8537246049661
GCA_006016765.2,4786558,52.21865064624726,1,4380.0,4374.0,4497.0,1.0,from large multi-isolate project,207,937.2684931506849
GCA_011117275.2,4787779,52.13567710623235,1,4339.0,4338.0,4449.0,1.0,from large multi-isolate project,271,905.2924637013136
GCA_009857075.1,4964098,52.21387651895672,2,4631.0,4628.0,4751.0,2.0,No,327,929.5875620816238
GCA_000624055.2,4685849,52.16491184415033,1,4365.0,4365.0,4487.0,1.0,No,896,927.3786941580756
GCA_003181155.1,5027523,52.13235225378382,2,4932.0,4929.0,5049.0,2.0,No,667,892.6088807785889
GCA_000503845.1,4762840,52.112521100855794,1,4342.0,4342.0,4452.0,1.0,No,687,945.5435283279595
GCA_016454725.1,5068487,52.08191320210548,8,4718.0,4717.0,4838.0,8.0,No,400,925.2077151335311
GCA_018340585.1,4676102,52.28615629000394,3,4309.0,4306.0,4427.0,3.0,No,182,943.4569505685774
GCA_000486765.2,4555576,52.28166537008712,1,4189.0,4189.0,4301.0,1.0,No,895,935.4017665313918
GCA_001278295.1,4962150,52.195419324284835,1,4465.0,4465.0,4583.0,1.0,many frameshifted proteins,1029,910.5558790593506
GCA_015243055.1,5020551,52.14097018434829,3,4612.0,4610.0,4730.0,3.0,from large multi-isolate project,311,916.7664787510842
GCA_015697785.1,5205476,51.90687652771812,2,4860.0,4855.0,4978.0,2.0,contaminated,359,924.7037037037037
GCA_009729895.1,4611029,52.299779506917005,1,4232.0,4229.0,4346.0,1.0,No,285,950.1077504725898
GCA_000698715.2,4727567,52.25059740031183,1,4397.0,4396.0,4513.0,1.0,No,328,935.6747782579031
GCA_003641285.1,4588222,52.35075809322217,1,4385.0,4384.0,4507.0,1.0,No,472,915.6214367160775
GCA_900205295.1,4618754,52.175500145710295,1,0.0,0.0,0.0,1.0,No,0,0.0
GCA_001690095.1,4885371,52.070108902681085,4,4571.0,4571.0,4694.0,4.0,No,863,927.4898271712973
GCA_007751115.2,4773795,52.13920999959152,2,4253.0,4246.0,4355.0,2.0,from large multi-isolate project,248,914.8027274864801
GCA_000750475.1,4678914,52.17272640617032,1,4366.0,4366.0,4478.0,1.0,No,605,928.4234997709574
GCA_000625375.2,4685841,51.70826325519795,1,4317.0,4317.0,4440.0,1.0,No,877,931.4996525364837
GCA_001359015.2,4847221,52.08010940701899,2,0.0,0.0,0.0,2.0,RefSeq annotation failed,0,0.0
GCA_000940935.2,4695514,52.18282812062748,1,4495.0,4492.0,4615.0,1.0,No,625,912.2794215795328
GCA_907163235.1,5314536,51.88661813561899,3,0.0,0.0,0.0,3.0,contaminated,0,0.0
GCA_018339115.1,4569523,52.23753113837046,1,4147.0,4143.0,4261.0,1.0,from large multi-isolate project,168,958.0378586930311
GCA_003325115.1,4690296,51.640706684610095,2,4232.0,4225.0,4340.0,2.0,No,567,926.0489130434783
GCA_000626375.1,4679953,52.17347268231113,1,4330.0,4330.0,4441.0,1.0,No,720,931.3293302540416
GCA_018340175.1,4874183,52.05331847409094,2,4484.0,4482.0,4601.0,2.0,from large multi-isolate project,243,939.7669491525423
GCA_016454665.1,5009604,52.019281364355344,3,4614.0,4607.0,4727.0,3.0,No,337,934.927178153446
GCA_016454245.1,5095077,52.018821305350244,2,4791.0,4782.0,4902.0,2.0,No,431,922.2285535378835
GCA_018460045.1,5282580,51.888622604863535,2,4956.0,4951.0,5074.0,2.0,No,371,917.6307506053269
GCA_012935275.1,5037644,51.863291649826785,2,4675.0,4674.0,4798.0,2.0,from large multi-isolate project,369,932.8733689839572
GCA_003717695.1,4877556,52.0404481260697,2,4293.0,4293.0,4395.0,2.0,No,912,925.7295597484276
GCA_000385905.1,4791958,52.04162891244039,1,4509.0,4509.0,4609.0,1.0,No,1127,890.4344644045243
GCA_016454605.1,5015052,52.178422078175856,3,4661.0,4658.0,4781.0,3.0,No,296,927.0755202746192
GCA_003871895.2,4981085,52.17409459987131,2,4640.0,4637.0,4758.0,2.0,from large multi-isolate project,232,930.8484913793103
GCA_001689935.1,4791235,52.10623148311448,3,4478.0,4478.0,4601.0,3.0,No,833,931.6040643144261
GCA_016454425.1,5011728,52.069146609712256,2,4599.0,4594.0,4714.0,2.0,No,349,934.2589693411611
GCA_000783815.2,4786576,52.16858564451917,3,4596.0,4594.0,4717.0,3.0,No,639,903.5894255874674
GCA_000487935.2,5102976,52.108475524870194,4,4648.0,4648.0,4777.0,4.0,No,986,910.4158777969019
GCA_900635535.1,4724014,52.1605355106907,1,4916.0,4916.0,5029.0,1.0,RefSeq annotation failed,0,821.0414971521562
GCA_002863785.1,4716126,52.31363623448568,2,4503.0,4503.0,4622.0,2.0,No,847,916.3437708194537
GCA_008607025.2,4821199,52.18461216805197,2,4442.0,4441.0,4560.0,2.0,from large multi-isolate project,224,938.1371004052229
GCA_006090915.2,4845604,52.24624216093597,1,4452.0,4443.0,4559.0,1.0,from large multi-isolate project,245,934.8247978436658
GCA_003717455.1,5001425,51.85482137590787,2,4441.0,4441.0,4543.0,2.0,No,1043,919.0346768745778
GCA_000626055.2,4685847,51.74189426159241,1,4319.0,4319.0,4442.0,1.0,No,875,931.8457976383422
GCA_012935235.1,5301908,51.75632998535622,4,4934.0,4929.0,5049.0,4.0,contaminated,474,921.4118362383462
GCA_004798745.1,4739426,51.99946153816939,2,4421.0,4419.0,4540.0,2.0,No,484,925.1192038000453
GCA_014447715.2,4631017,52.191559650936284,1,4267.0,4266.0,4383.0,1.0,from large multi-isolate project,211,936.9714084837123
GCA_000626175.1,4711160,52.15723940600616,1,4366.0,4366.0,4473.0,1.0,No,666,925.466788822721
GCA_001623645.2,5016195,52.122794269361535,5,4722.0,4722.0,4845.0,5.0,No,933,922.3773824650572
GCA_000487015.2,4756014,52.18260501335782,1,4558.0,4558.0,4680.0,1.0,No,899,912.9271610355419
GCA_016117835.1,4801603,52.16457920406997,2,4326.0,4311.0,4433.0,2.0,No,250,912.1347665279704
GCA_000756465.1,4574846,51.47384196101902,1,4187.0,4187.0,4291.0,1.0,No,883,922.9405302125627
GCA_900477995.1,4907449,51.943525037142514,1,4586.0,4586.0,4695.0,1.0,RefSeq annotation failed,1,927.2003924989098
GCA_015223545.3,4904673,52.18462066686199,2,4366.0,4363.0,4473.0,2.0,No,293,911.8650939074668
GCA_000624655.2,4685835,51.72437783233938,1,4318.0,4318.0,4440.0,1.0,No,879,931.5949513663733
GCA_002209225.2,5020697,52.1415253698839,3,4916.0,4913.0,5037.0,3.0,No,700,892.1853132628153
GCA_018338695.1,4843329,52.076949552673376,1,4431.0,4425.0,4547.0,1.0,from large multi-isolate project,261,947.7758970886933
GCA_000330485.2,4781492,52.214999000312034,2,4280.0,4280.0,4386.0,2.0,No,968,904.4406542056075
GCA_001831985.2,4892473,52.18967994304721,2,4534.0,4529.0,4644.0,2.0,No,282,932.5716806352007
GCA_003429365.1,4742259,52.10004346030025,2,4504.0,4504.0,4610.0,2.0,No,524,915.2895204262877
GCA_018339715.1,4627147,52.22416750537642,1,4246.0,4244.0,4359.0,1.0,from large multi-isolate project,184,945.5254357041922
GCA_015052805.1,4899618,52.20276356238384,1,4529.0,4526.0,4649.0,1.0,No,217,938.1616250827998
GCA_900477985.1,5118272,51.86176115689045,1,4730.0,4730.0,4842.0,1.0,RefSeq annotation failed,2,940.2642706131078
GCA_900635595.1,4642281,51.36916528749552,1,4762.0,4762.0,4870.0,1.0,RefSeq annotation failed,1,827.3912221755564
GCA_000623915.2,4685907,51.724479380405974,1,4316.0,4316.0,4439.0,1.0,No,874,932.1042632066728
GCA_003717855.1,4791108,52.11318550948966,1,4232.0,4232.0,4332.0,1.0,No,890,922.7490548204158
GCA_012052965.1,5028693,51.80196921943734,2,4609.0,4596.0,4714.0,2.0,No,412,930.9273161206336
GCA_002128365.1,4738764,52.17029166255167,2,4555.0,4555.0,4678.0,2.0,No,877,904.29462129528
GCA_003073575.1,4694397,52.20928268316463,1,4502.0,4501.0,4625.0,1.0,No,563,916.9247001332741
GCA_009728895.2,4995405,51.73654588566893,3,4590.0,4576.0,4694.0,3.0,No,360,929.6385620915032
GCA_004941405.1,4995830,52.175114045113624,1,4751.0,4749.0,4863.0,1.0,No,404,919.3123552936224
GCA_003717395.1,5000621,51.8572193333588,2,4429.0,4429.0,4532.0,2.0,No,1030,920.0623165500112
GCA_018339595.1,4975980,52.128223988038535,1,4580.0,4578.0,4704.0,1.0,from large multi-isolate project,250,941.9072052401747
GCA_015240995.1,4840946,52.27178737379016,3,0.0,0.0,0.0,3.0,No,0,0.0
GCA_004848145.1,4808481,52.21039658886039,2,4474.0,4473.0,4589.0,2.0,No,348,932.9843540455968
GCA_002211825.1,5066092,51.49910424050728,3,4629.0,4629.0,4747.0,3.0,No,1020,942.3771872974725
GCA_003718315.1,4842715,52.10300420322071,1,4294.0,4294.0,4392.0,1.0,No,925,919.3188169538892
GCA_005457265.2,5099088,52.14571703802719,2,4762.0,4745.0,4866.0,2.0,No,442,926.1392272154557
GCA_004792435.1,4948841,52.215377297431864,2,4707.0,4704.0,4826.0,2.0,No,430,911.3601019757807
GCA_012053905.1,5072601,51.789821434802384,2,4660.0,4649.0,4767.0,2.0,No,381,931.4682403433476
GCA_018340155.1,4788602,52.13897500773712,1,4428.0,4427.0,4547.0,1.0,from large multi-isolate project,245,940.1043360433605
GCA_009664635.1,5166907,52.19393343058042,2,4760.0,4756.0,4882.0,0.0,No,442,910.6243697478992
GCA_004919245.1,5083787,52.11451620612744,3,4828.0,4825.0,4941.0,3.0,contaminated,422,911.7214167357083
GCA_018338275.1,4567788,52.20001453657657,1,4198.0,4197.0,4314.0,1.0,from large multi-isolate project,194,936.1648404001905
GCA_016025395.1,4885341,52.13762969667829,1,4471.0,4469.0,4592.0,1.0,No,238,948.5345560277343
GCA_000473275.1,4707648,52.24608976711938,1,4357.0,4357.0,4458.0,1.0,No,692,937.4381455129676
GCA_000750335.1,4709890,52.156058846384944,1,4277.0,4277.0,4386.0,1.0,No,651,945.2267944821136
GCA_004768625.1,5153512,52.08764430935641,4,4893.0,4887.0,5007.0,4.0,No,638,903.122624156959
GCA_001006525.1,5190370,51.946797627144115,8,4916.0,4916.0,5202.0,8.0,No,390,917.4412123677787
GCA_001692615.1,4791397,52.10613939942777,3,4474.0,4474.0,4597.0,3.0,No,833,931.0592311130979
GCA_002813995.1,4739162,52.1740341435891,2,4553.0,4551.0,4672.0,2.0,No,635,903.2433560289919
GCA_000626135.2,4685838,51.725710534593816,1,4320.0,4320.0,4442.0,1.0,No,877,931.7416666666667
GCA_016454205.1,4774044,52.15406477192083,3,4384.0,4381.0,4501.0,3.0,No,265,939.9844890510949
GCA_018339895.1,4727198,52.19851167647304,1,4351.0,4350.0,4474.0,1.0,from large multi-isolate project,197,944.3047575270053
GCA_016454305.1,4814170,51.72079506955509,2,4314.0,4308.0,4424.0,2.0,No,329,942.7378303198888
GCA_000750455.1,4678571,52.17127195462033,1,4364.0,4364.0,4474.0,1.0,No,607,927.3198900091659
GCA_001623805.1,5027726,52.13251477904723,2,4734.0,4734.0,4856.0,2.0,No,971,919.4119138149556
GCA_003994555.1,4856831,51.97568126212339,1,4233.0,4214.0,4317.0,1.0,many frameshifted proteins,474,894.1644223954642
GCA_000750495.1,4677619,52.170495288308004,1,4317.0,4317.0,4425.0,1.0,No,607,925.2786657400973
GCA_000623855.2,4685836,51.72393997570551,1,4315.0,4315.0,4438.0,0.0,No,875,932.124449594438
GCA_015246835.2,5075742,52.07544039866487,5,4755.0,4751.0,4874.0,5.0,from large multi-isolate project,262,921.1791798107256
GCA_001692535.1,4788026,52.10422833961219,2,4472.0,4472.0,4595.0,2.0,No,833,930.9789803220036
GCA_001240865.2,5091925,51.836152339243014,3,0.0,0.0,0.0,3.0,RefSeq annotation failed,0,0.0
GCA_009734305.1,4896053,52.060159479482756,2,4439.0,4438.0,4549.0,2.0,No,415,903.4706014868214
GCA_002211585.1,5268613,51.957906188972316,3,4938.0,4922.0,5038.0,3.0,No,1120,898.6974483596598
GCA_012049805.1,4847360,52.19185288486929,3,4492.0,4490.0,4610.0,3.0,No,300,923.5416295636687
GCA_005900065.2,5106982,51.93957997110622,2,4719.0,4712.0,4832.0,2.0,from large multi-isolate project,341,929.8499682136046
GCA_001484025.1,4735702,52.16911874944834,2,4429.0,4429.0,4537.0,2.0,No,932,1991.9975174904084
GCA_002234515.1,4796292,52.235518604788865,1,4612.0,4609.0,4730.0,1.0,No,778,905.1157849089332
GCA_000626495.2,4685836,51.426767816884755,1,4280.0,4280.0,4401.0,1.0,No,844,934.5135514018691
GCA_001457675.1,4763085,52.0825893302345,4,4342.0,4342.0,4432.0,4.0,No,90,948.2167204053432
GCA_900478385.1,4670674,52.18308963545732,1,4463.0,4463.0,4572.0,1.0,RefSeq annotation failed,1,903.8236612144298
GCA_000625575.2,4685832,51.724603016070574,1,4318.0,4318.0,4440.0,1.0,No,880,931.5449282075035
GCA_011388155.1,4657667,52.274303852121676,1,3928.0,3926.0,4041.0,1.0,many frameshifted proteins,254,904.1896639511201
GCA_012957145.2,5220459,51.83381384663686,6,4829.0,4822.0,4942.0,6.0,contaminated,421,920.0907020086975
